Lead_ID,Lead_Date,Ad_Campaign_Name,Ad_Set_Name,Ad_Spend,Impressions,Clicks,CTR (%),CPC,Form_Submit_Time,Lead_Source,Age,Gender,Location,Treatment_Interest,Preferred_Slot,Response_Time (mins),No_of_Followups,Engagement_Score,Consent_Status,Lead_Score,Appointment_Booked,Appointment_Date,Created_Week
LEAD_1010,2025-04-11,HairRevive_Offer,Youngsters_Fitness,749.56,3190,10,0.31,74.96,2025-04-11 14:23:00,Facebook,56,Female,Mumbai,Skin,Morning,146,3,48,True,33.3,1,2025-04-15,15
LEAD_1011,2025-08-29,DentalCare_2025,Men_30plus,725.96,1063,105,9.88,6.91,2025-08-29 21:06:00,Facebook,39,Other,Bangalore,Wellness,Evening,233,5,54,True,16.65,1,2025-09-01,35
LEAD_1012,2025-03-07,SkinGlow_AdSet,Target_Women_25_45,366.07,3229,54,1.67,6.78,2025-03-07 22:34:00,Facebook,45,Male,Ranchi,Skin,Afternoon,138,4,67,True,39.1,0,,10
LEAD_1013,2025-08-19,SkinGlow_AdSet,GeneralAudience,305.14,2737,138,5.04,2.21,2025-08-19 23:54:00,Facebook,26,Other,Delhi,Dental,Afternoon,194,1,91,True,49.3,1,2025-08-25,34
LEAD_1014,2025-06-14,DentalCare_2025,Youngsters_Fitness,390.88,1163,68,5.85,5.75,2025-06-14 09:23:00,Facebook,29,Other,Bangalore,Hair,Morning,100,1,91,True,63.4,0,,24
LEAD_1015,2025-04-23,SkinGlow_AdSet,Retarget_OldLeads,997.97,2136,122,5.71,8.18,2025-04-23 20:48:00,Facebook,18,Female,Ranchi,Wellness,Morning,191,1,41,True,29.75,1,2025-04-28,17
LEAD_1016,2025-05-06,HairRevive_Offer,Retarget_OldLeads,597.6,2207,169,7.66,3.54,2025-05-06 04:39:00,Facebook,22,Other,Delhi,Wellness,Evening,72,3,95,True,63.2,0,,19
LEAD_1017,2025-04-08,HairRevive_Offer,GeneralAudience,834.79,697,148,21.23,5.64,2025-04-08 10:59:00,Facebook,53,Male,Ranchi,Wellness,Evening,148,1,48,True,39.0,1,2025-04-13,15
LEAD_1018,2025-05-27,Wellness_Boost,Youngsters_Fitness,186.56,3719,105,2.82,1.78,2025-05-27 10:40:00,Facebook,28,Other,Bangalore,Skin,Morning,237,1,79,True,38.05,0,,22
LEAD_1019,2025-05-31,HairRevive_Offer,Youngsters_Fitness,332.15,4561,51,1.12,6.51,2025-05-31 00:01:00,Facebook,18,Male,Bangalore,Skin,Evening,148,2,87,True,51.6,0,,22
LEAD_1020,2025-09-11,SkinGlow_AdSet,Target_Women_25_45,894.37,4223,46,1.09,19.44,2025-09-11 06:43:00,Facebook,41,Male,Kolkata,Hair,Evening,13,1,74,True,69.65,0,,37
LEAD_1021,2025-02-23,SkinGlow_AdSet,GeneralAudience,677.83,3691,170,4.61,3.99,2025-02-23 04:13:00,Facebook,52,Other,Mumbai,Hair,Afternoon,79,1,47,True,48.95,0,,8
LEAD_1022,2025-04-22,DentalCare_2025,GeneralAudience,976.3,3057,108,3.53,9.04,2025-04-22 02:40:00,Facebook,21,Male,Bangalore,Hair,Evening,150,2,41,True,32.9,0,,17
LEAD_1023,2025-05-15,HairRevive_Offer,Retarget_OldLeads,377.25,1718,154,8.96,2.45,2025-05-15 00:37:00,Facebook,55,Female,Kolkata,Skin,Afternoon,180,4,98,True,45.2,1,2025-05-21,20
LEAD_1024,2025-02-20,Wellness_Boost,Men_30plus,668.02,2985,17,0.57,39.3,2025-02-20 07:32:00,Facebook,36,Other,Bangalore,Skin,Evening,230,5,69,True,23.1,0,,8
LEAD_1025,2025-01-04,SmileCare_Promo,Target_Women_25_45,995.1,3620,26,0.72,38.27,2025-01-04 17:40:00,Facebook,41,Other,Kolkata,Skin,Evening,162,5,85,True,39.7,1,2025-01-05,1
LEAD_1026,2025-06-30,Wellness_Boost,GeneralAudience,982.3,1106,108,9.76,9.1,2025-06-30 02:07:00,Facebook,35,Female,Delhi,Dental,Evening,120,5,60,True,36.0,1,2025-07-03,27
LEAD_1027,2025-08-11,DentalCare_2025,GeneralAudience,613.06,1069,76,7.11,8.07,2025-08-11 08:09:00,Facebook,19,Other,Ranchi,Wellness,Evening,28,2,71,True,63.2,1,2025-08-14,33
LEAD_1028,2025-04-14,SmileCare_Promo,Youngsters_Fitness,597.54,4841,185,3.82,3.23,2025-04-14 13:47:00,Facebook,24,Female,Delhi,Wellness,Morning,174,2,74,True,42.5,0,,16
LEAD_1029,2025-02-05,HairRevive_Offer,Men_30plus,163.85,4615,74,1.6,2.21,2025-02-05 12:06:00,Facebook,39,Female,Kolkata,Wellness,Morning,148,4,90,True,46.8,1,2025-02-07,6
LEAD_1030,2025-02-20,DentalCare_2025,Youngsters_Fitness,588.38,4236,195,4.6,3.02,2025-02-20 17:57:00,Facebook,60,Other,Bangalore,Hair,Evening,129,2,97,True,58.45,1,2025-02-26,8
LEAD_1031,2025-04-11,HairRevive_Offer,Men_30plus,294.24,3624,69,1.9,4.26,2025-04-11 00:46:00,Facebook,52,Other,Kolkata,Wellness,Morning,9,4,45,True,49.65,0,,15
LEAD_1032,2025-05-24,SkinGlow_AdSet,Target_Women_25_45,564.67,4864,123,2.53,4.59,2025-05-24 18:01:00,Facebook,43,Male,Ranchi,Wellness,Morning,162,3,56,True,34.1,0,,21
LEAD_1033,2025-08-17,HairRevive_Offer,Retarget_OldLeads,852.38,616,71,11.53,12.01,2025-08-17 13:21:00,Facebook,49,Other,Mumbai,Dental,Evening,141,4,92,True,48.65,0,,33
LEAD_1034,2025-05-06,Wellness_Boost,Target_Women_25_45,694.18,1059,98,9.25,7.08,2025-05-06 09:40:00,Facebook,39,Female,Mumbai,Skin,Evening,121,1,55,True,45.85,0,,19
LEAD_1035,2025-09-04,SkinGlow_AdSet,Youngsters_Fitness,420.38,3647,163,4.47,2.58,2025-09-04 01:33:00,Facebook,63,Other,Mumbai,Dental,Morning,233,1,68,True,34.25,1,2025-09-05,36
LEAD_1036,2025-07-23,SkinGlow_AdSet,Target_Women_25_45,826.22,3459,185,5.35,4.47,2025-07-23 18:43:00,Facebook,51,Male,Kolkata,Hair,Afternoon,104,1,69,True,54.0,1,2025-07-29,30
LEAD_1037,2025-06-29,SkinGlow_AdSet,Men_30plus,550.94,4230,195,4.61,2.83,2025-06-29 04:17:00,Facebook,45,Male,Delhi,Hair,Morning,73,5,43,True,36.25,0,,26
LEAD_1038,2025-06-09,SkinGlow_AdSet,Target_Women_25_45,617.93,4046,93,2.3,6.64,2025-06-09 21:31:00,Facebook,20,Male,Bangalore,Wellness,Evening,182,3,99,True,48.3,0,,24
LEAD_1039,2025-03-06,SmileCare_Promo,Target_Women_25_45,276.21,4413,52,1.18,5.31,2025-03-06 00:34:00,Facebook,40,Male,Bangalore,Skin,Morning,145,4,70,True,39.25,1,2025-03-08,10
LEAD_1040,2025-03-31,SmileCare_Promo,Target_Women_25_45,860.39,1275,102,8.0,8.44,2025-03-31 18:18:00,Facebook,46,Other,Ranchi,Dental,Evening,94,2,90,True,60.9,1,2025-04-05,14
LEAD_1041,2025-08-05,Wellness_Boost,Target_Women_25_45,259.7,3848,173,4.5,1.5,2025-08-05 01:35:00,Facebook,41,Female,Ranchi,Skin,Morning,205,3,88,True,40.45,1,2025-08-06,32
LEAD_1042,2025-05-31,HairRevive_Offer,GeneralAudience,486.09,4632,21,0.45,23.15,2025-05-31 01:01:00,Facebook,37,Other,Delhi,Skin,Evening,17,1,74,True,69.05,0,,22
LEAD_1043,2025-08-05,SkinGlow_AdSet,Retarget_OldLeads,905.97,1865,150,8.04,6.04,2025-08-05 01:15:00,Facebook,26,Other,Bangalore,Dental,Afternoon,181,4,51,False,26.25,0,,32
LEAD_1044,2025-07-25,Wellness_Boost,GeneralAudience,534.27,3282,137,4.17,3.9,2025-07-25 19:34:00,Facebook,33,Female,Bangalore,Skin,Morning,115,5,44,True,30.35,1,2025-07-28,30
LEAD_1045,2025-02-26,Wellness_Boost,GeneralAudience,937.84,1562,118,7.55,7.95,2025-02-26 10:57:00,Facebook,64,Male,Bangalore,Dental,Evening,190,2,44,True,28.1,0,,9
LEAD_1046,2025-03-17,DentalCare_2025,Youngsters_Fitness,191.01,1453,154,10.6,1.24,2025-03-17 10:33:00,Facebook,19,Other,Ranchi,Skin,Morning,11,5,79,True,59.95,0,,12
LEAD_1047,2025-01-05,HairRevive_Offer,GeneralAudience,987.98,3736,175,4.68,5.65,2025-01-05 03:36:00,Facebook,62,Male,Kolkata,Dental,Evening,113,1,61,True,49.45,0,,1
LEAD_1048,2025-05-12,Wellness_Boost,Men_30plus,737.36,2327,79,3.39,9.33,2025-05-12 00:38:00,Facebook,20,Male,Bangalore,Skin,Evening,23,5,83,True,59.75,0,,20
LEAD_1049,2025-06-22,DentalCare_2025,GeneralAudience,150.67,1743,135,7.75,1.12,2025-06-22 05:47:00,Facebook,42,Other,Bangalore,Wellness,Evening,224,5,80,True,28.4,0,,25
LEAD_1050,2025-04-27,Wellness_Boost,Youngsters_Fitness,110.94,633,67,10.58,1.66,2025-04-27 03:22:00,Facebook,54,Female,Ranchi,Dental,Evening,164,5,86,True,39.8,0,,17
LEAD_1051,2025-06-13,SkinGlow_AdSet,Target_Women_25_45,972.37,1750,156,8.91,6.23,2025-06-13 23:16:00,Facebook,20,Female,Kolkata,Skin,Morning,150,1,88,True,54.7,0,,24
LEAD_1052,2025-05-24,Wellness_Boost,Retarget_OldLeads,923.73,970,194,20.0,4.76,2025-05-24 11:15:00,Facebook,43,Female,Delhi,Wellness,Afternoon,78,4,63,True,46.5,1,2025-05-28,21
LEAD_1053,2025-05-16,Wellness_Boost,GeneralAudience,625.29,3245,69,2.13,9.06,2025-05-16 15:58:00,Facebook,34,Male,Bangalore,Wellness,Morning,224,5,80,True,28.4,0,,20
LEAD_1054,2025-07-20,SmileCare_Promo,Target_Women_25_45,219.87,3008,166,5.52,1.32,2025-07-20 07:29:00,Facebook,27,Male,Ranchi,Skin,Evening,39,5,45,True,42.15,0,,29
LEAD_1055,2025-08-30,DentalCare_2025,Target_Women_25_45,799.84,1515,42,2.77,19.04,2025-08-30 13:46:00,Facebook,44,Female,Delhi,Wellness,Morning,150,1,50,True,39.5,0,,35
LEAD_1056,2025-06-26,SmileCare_Promo,Men_30plus,133.14,4500,107,2.38,1.24,2025-06-26 11:48:00,Facebook,48,Other,Bangalore,Dental,Afternoon,133,5,87,True,44.85,0,,26
LEAD_1057,2025-05-13,SkinGlow_AdSet,Target_Women_25_45,792.09,1960,32,1.63,24.75,2025-05-13 00:00:00,Facebook,62,Other,Ranchi,Wellness,Evening,169,2,49,True,33.25,1,2025-05-14,20
LEAD_1058,2025-07-24,SmileCare_Promo,Youngsters_Fitness,422.35,2323,43,1.85,9.82,2025-07-24 22:09:00,Facebook,29,Male,Mumbai,Hair,Afternoon,76,2,97,True,66.4,0,,30
LEAD_1059,2025-02-23,SkinGlow_AdSet,GeneralAudience,179.57,735,142,19.32,1.26,2025-02-23 20:52:00,Facebook,38,Female,Mumbai,Skin,Morning,61,1,87,True,67.65,0,,8
LEAD_1060,2025-03-07,DentalCare_2025,Men_30plus,912.84,2622,188,7.17,4.86,2025-03-07 13:17:00,Facebook,32,Other,Delhi,Dental,Evening,196,4,73,True,32.8,0,,10
LEAD_1061,2025-09-06,SkinGlow_AdSet,Retarget_OldLeads,456.89,4761,88,1.85,5.19,2025-09-06 22:33:00,Facebook,34,Male,Mumbai,Dental,Evening,110,3,56,True,41.9,1,2025-09-07,36
LEAD_1062,2025-03-10,DentalCare_2025,Youngsters_Fitness,543.36,3093,15,0.48,36.22,2025-03-10 20:06:00,Facebook,33,Other,Kolkata,Wellness,Morning,209,3,82,True,37.45,1,2025-03-11,11
LEAD_1063,2025-04-05,DentalCare_2025,GeneralAudience,676.79,3945,153,3.88,4.42,2025-04-05 11:06:00,Facebook,46,Male,Delhi,Dental,Afternoon,108,4,95,True,54.8,0,,14
LEAD_1064,2025-06-09,DentalCare_2025,Retarget_OldLeads,273.06,2469,70,2.84,3.9,2025-06-09 23:48:00,Facebook,23,Other,Kolkata,Wellness,Afternoon,151,5,44,True,24.95,1,2025-06-15,24
LEAD_1065,2025-01-01,Wellness_Boost,Men_30plus,904.8,1023,99,9.68,9.14,2025-01-01 03:33:00,Facebook,64,Other,Mumbai,Skin,Evening,181,2,84,True,45.45,1,2025-01-02,1
LEAD_1066,2025-02-25,SmileCare_Promo,Target_Women_25_45,439.56,4702,72,1.53,6.11,2025-02-25 21:16:00,Facebook,32,Other,Kolkata,Wellness,Afternoon,85,2,75,True,56.25,0,,9
LEAD_1067,2025-05-07,SkinGlow_AdSet,Retarget_OldLeads,656.43,555,23,4.14,28.54,2025-05-07 17:10:00,Facebook,20,Male,Delhi,Hair,Morning,219,2,84,True,39.75,1,2025-05-10,19
LEAD_1068,2025-04-21,DentalCare_2025,Target_Women_25_45,578.9,1418,116,8.18,4.99,2025-04-21 08:04:00,Facebook,45,Female,Mumbai,Wellness,Afternoon,22,2,77,True,66.5,1,2025-04-22,17
LEAD_1069,2025-07-21,HairRevive_Offer,Men_30plus,856.64,1562,194,12.42,4.42,2025-07-21 23:37:00,Facebook,20,Female,Ranchi,Dental,Morning,90,2,83,True,58.7,1,2025-07-22,30
LEAD_1070,2025-08-21,Wellness_Boost,Retarget_OldLeads,178.23,2656,155,5.84,1.15,2025-08-21 09:54:00,Facebook,59,Other,Bangalore,Hair,Afternoon,115,2,86,True,56.15,0,,34
LEAD_1071,2025-04-11,SkinGlow_AdSet,Men_30plus,646.8,3239,35,1.08,18.48,2025-04-11 11:01:00,Facebook,38,Other,Kolkata,Wellness,Afternoon,191,3,84,True,40.95,0,,15
LEAD_1072,2025-07-17,SkinGlow_AdSet,Target_Women_25_45,244.61,2105,121,5.75,2.02,2025-07-17 09:07:00,Facebook,41,Female,Mumbai,Dental,Afternoon,79,1,94,True,67.75,1,2025-07-22,29
LEAD_1073,2025-08-11,DentalCare_2025,Target_Women_25_45,618.4,505,75,14.85,8.25,2025-08-11 15:46:00,Facebook,19,Male,Mumbai,Dental,Afternoon,79,4,54,True,42.75,1,2025-08-17,33
LEAD_1074,2025-07-22,SmileCare_Promo,Retarget_OldLeads,482.89,1641,77,4.69,6.27,2025-07-22 10:53:00,Facebook,55,Other,Delhi,Hair,Morning,229,4,88,True,33.85,0,,30
LEAD_1075,2025-05-19,Wellness_Boost,Retarget_OldLeads,146.64,2526,12,0.48,12.22,2025-05-19 00:12:00,Facebook,57,Male,Delhi,Dental,Evening,182,2,44,True,29.3,0,,21
LEAD_1076,2025-05-10,DentalCare_2025,Retarget_OldLeads,224.94,2119,74,3.49,3.04,2025-05-10 18:38:00,Facebook,22,Other,Kolkata,Skin,Afternoon,77,1,48,True,49.65,0,,19
LEAD_1077,2025-08-24,DentalCare_2025,Target_Women_25_45,939.64,2469,87,3.52,10.8,2025-08-24 22:52:00,Facebook,25,Male,Ranchi,Dental,Morning,207,1,73,True,40.15,1,2025-08-30,34
LEAD_1078,2025-09-24,HairRevive_Offer,Youngsters_Fitness,819.58,1372,23,1.68,35.63,2025-09-24 23:53:00,Facebook,21,Other,Delhi,Wellness,Evening,39,5,76,True,54.55,0,,39
LEAD_1079,2025-03-30,DentalCare_2025,Youngsters_Fitness,714.68,1565,98,6.26,7.29,2025-03-30 16:32:00,Facebook,42,Female,Bangalore,Skin,Morning,76,3,77,True,55.4,0,,13
LEAD_1080,2025-05-25,HairRevive_Offer,Target_Women_25_45,915.82,1748,62,3.55,14.77,2025-05-25 09:13:00,Facebook,32,Other,Delhi,Dental,Evening,183,3,45,True,26.55,0,,21
LEAD_1081,2025-04-21,HairRevive_Offer,Retarget_OldLeads,809.74,2535,164,6.47,4.94,2025-04-21 04:48:00,Facebook,21,Male,Kolkata,Wellness,Afternoon,42,1,72,True,64.5,0,,17
LEAD_1082,2025-03-27,DentalCare_2025,Target_Women_25_45,544.58,2357,19,0.81,28.66,2025-03-27 03:35:00,Facebook,32,Other,Mumbai,Dental,Afternoon,78,1,93,True,67.5,1,2025-03-31,13
LEAD_1083,2025-06-06,HairRevive_Offer,Target_Women_25_45,537.72,4219,14,0.33,38.41,2025-06-06 12:34:00,Facebook,53,Other,Delhi,Wellness,Evening,72,4,84,True,55.8,0,,23
LEAD_1084,2025-03-10,DentalCare_2025,Men_30plus,408.27,4606,83,1.8,4.92,2025-03-10 15:57:00,Facebook,35,Male,Delhi,Wellness,Afternoon,138,2,85,True,52.3,0,,11
LEAD_1085,2025-04-21,HairRevive_Offer,Target_Women_25_45,633.67,2139,69,3.23,9.18,2025-04-21 18:49:00,Facebook,45,Male,Ranchi,Skin,Morning,104,4,44,True,35.0,0,,17
LEAD_1086,2025-02-20,SkinGlow_AdSet,Men_30plus,856.4,4033,49,1.21,17.48,2025-02-20 20:05:00,Facebook,40,Female,Mumbai,Dental,Afternoon,15,1,85,True,73.75,1,2025-02-24,8
LEAD_1087,2025-01-01,Wellness_Boost,GeneralAudience,566.95,2354,191,8.11,2.97,2025-01-01 05:12:00,Facebook,43,Female,Kolkata,Hair,Morning,172,5,86,True,38.6,1,2025-01-05,1
LEAD_1088,2025-03-04,DentalCare_2025,GeneralAudience,927.87,1036,99,9.56,9.37,2025-03-04 15:38:00,Facebook,61,Other,Kolkata,Dental,Evening,134,2,66,True,45.3,0,,10
LEAD_1089,2025-09-08,HairRevive_Offer,Men_30plus,619.87,1705,161,9.44,3.85,2025-09-08 16:42:00,Facebook,39,Other,Delhi,Skin,Evening,184,5,63,True,27.6,0,,37
LEAD_1090,2025-06-03,Wellness_Boost,Youngsters_Fitness,697.18,2703,123,4.55,5.67,2025-06-03 05:41:00,Facebook,45,Female,Delhi,Dental,Morning,203,1,59,True,35.15,0,,23
LEAD_1091,2025-03-04,HairRevive_Offer,GeneralAudience,551.98,2224,113,5.08,4.88,2025-03-04 22:21:00,Facebook,49,Other,Delhi,Wellness,Afternoon,5,5,69,True,56.85,1,2025-03-07,10
LEAD_1092,2025-06-07,Wellness_Boost,Men_30plus,132.89,2832,58,2.05,2.29,2025-06-07 16:49:00,Facebook,19,Other,Delhi,Dental,Morning,34,3,57,True,53.7,0,,23
LEAD_1093,2025-04-23,HairRevive_Offer,Youngsters_Fitness,788.82,2661,175,6.58,4.51,2025-04-23 13:19:00,Facebook,27,Female,Kolkata,Hair,Evening,136,1,47,True,40.4,0,,17
LEAD_1094,2025-06-11,Wellness_Boost,Target_Women_25_45,981.04,3951,96,2.43,10.22,2025-06-11 07:22:00,Facebook,25,Female,Mumbai,Dental,Afternoon,36,2,46,True,52.0,1,2025-06-14,24
LEAD_1095,2025-02-23,DentalCare_2025,Target_Women_25_45,898.71,3810,76,1.99,11.83,2025-02-23 19:03:00,Facebook,63,Other,Ranchi,Dental,Morning,96,2,74,True,54.2,0,,8
LEAD_1096,2025-06-14,SmileCare_Promo,Retarget_OldLeads,363.83,4777,151,3.16,2.41,2025-06-14 18:28:00,Facebook,36,Other,Mumbai,Dental,Evening,180,2,46,True,30.4,0,,24
LEAD_1097,2025-04-22,SmileCare_Promo,Target_Women_25_45,624.74,3952,156,3.95,4.0,2025-04-22 12:25:00,Facebook,19,Male,Kolkata,Hair,Morning,192,2,41,True,26.6,0,,17
LEAD_1098,2025-07-14,HairRevive_Offer,Retarget_OldLeads,847.59,3690,149,4.04,5.69,2025-07-14 14:13:00,Facebook,61,Male,Bangalore,Dental,Morning,41,1,73,True,65.05,1,2025-07-16,29
LEAD_1099,2025-03-22,Wellness_Boost,GeneralAudience,538.69,3261,167,5.12,3.23,2025-03-22 03:56:00,Facebook,42,Male,Bangalore,Skin,Evening,219,1,89,True,44.75,1,2025-03-24,12
LEAD_1100,2025-07-20,HairRevive_Offer,GeneralAudience,219.05,1801,13,0.72,16.85,2025-07-20 02:07:00,Facebook,38,Other,Delhi,Dental,Morning,33,5,73,True,54.25,1,2025-07-22,29
LEAD_1101,2025-02-11,Wellness_Boost,Retarget_OldLeads,160.46,540,175,32.41,0.92,2025-02-11 05:41:00,Facebook,38,Female,Delhi,Dental,Evening,169,1,77,True,47.45,1,2025-02-13,7
LEAD_1102,2025-01-27,DentalCare_2025,Target_Women_25_45,325.66,1145,177,15.46,1.84,2025-01-27 11:41:00,Facebook,63,Other,Bangalore,Skin,Evening,57,2,84,True,64.05,0,,5
LEAD_1103,2025-03-05,SkinGlow_AdSet,Target_Women_25_45,764.23,4725,63,1.33,12.13,2025-03-05 21:59:00,Facebook,28,Female,Bangalore,Wellness,Afternoon,55,5,75,True,51.75,1,2025-03-08,10
LEAD_1104,2025-06-13,HairRevive_Offer,Retarget_OldLeads,367.41,1636,196,11.98,1.87,2025-06-13 01:08:00,Facebook,50,Male,Mumbai,Hair,Afternoon,231,2,94,True,41.95,0,,24
LEAD_1105,2025-09-07,SkinGlow_AdSet,Youngsters_Fitness,245.81,1250,157,12.56,1.57,2025-09-07 01:12:00,Facebook,26,Female,Kolkata,Skin,Afternoon,239,1,98,True,45.35,1,2025-09-09,36
LEAD_1106,2025-01-17,SkinGlow_AdSet,Target_Women_25_45,719.56,1740,70,4.02,10.28,2025-01-17 02:51:00,Facebook,47,Other,Ranchi,Wellness,Morning,46,1,78,True,66.3,1,2025-01-21,3
LEAD_1107,2025-04-12,Wellness_Boost,Men_30plus,182.42,2822,110,3.9,1.66,2025-04-12 00:11:00,Facebook,33,Male,Delhi,Hair,Morning,53,5,56,False,44.45,0,,15
LEAD_1108,2025-08-04,DentalCare_2025,GeneralAudience,675.05,838,17,2.03,39.71,2025-08-04 07:45:00,Facebook,42,Male,Ranchi,Dental,Evening,85,5,93,True,54.45,0,,32
LEAD_1109,2025-09-25,DentalCare_2025,GeneralAudience,988.9,4226,68,1.61,14.54,2025-09-25 06:40:00,Facebook,40,Male,Delhi,Dental,Afternoon,113,2,86,True,56.45,0,,39
LEAD_1110,2025-03-27,SkinGlow_AdSet,GeneralAudience,130.55,4845,144,2.97,0.91,2025-03-27 12:06:00,Facebook,46,Other,Mumbai,Hair,Morning,121,1,90,True,59.85,0,,13
LEAD_1111,2025-03-23,Wellness_Boost,Retarget_OldLeads,860.09,3794,125,3.29,6.88,2025-03-23 19:35:00,Facebook,52,Other,Delhi,Skin,Afternoon,150,3,81,True,45.9,0,,12
LEAD_1112,2025-04-18,SkinGlow_AdSet,Target_Women_25_45,577.24,630,46,7.3,12.55,2025-04-18 22:52:00,Facebook,39,Female,Ranchi,Skin,Afternoon,222,4,78,True,30.9,0,,16
LEAD_1113,2025-07-29,HairRevive_Offer,GeneralAudience,889.0,4611,179,3.88,4.97,2025-07-29 04:10:00,Facebook,30,Other,Bangalore,Skin,Morning,198,3,81,False,38.7,0,,31
LEAD_1114,2025-05-21,SkinGlow_AdSet,Men_30plus,998.14,4310,132,3.06,7.56,2025-05-21 04:31:00,Facebook,61,Female,Delhi,Dental,Afternoon,33,1,68,True,64.25,0,,21
LEAD_1115,2025-08-27,SkinGlow_AdSet,Target_Women_25_45,182.53,2924,19,0.65,9.61,2025-08-27 19:25:00,Facebook,47,Female,Delhi,Wellness,Morning,107,4,44,True,34.55,1,2025-09-01,35
LEAD_1116,2025-05-26,Wellness_Boost,Target_Women_25_45,349.54,4888,162,3.31,2.16,2025-05-26 19:23:00,Facebook,54,Male,Delhi,Skin,Afternoon,185,1,54,True,35.85,0,,22
LEAD_1117,2025-03-02,SkinGlow_AdSet,GeneralAudience,629.7,4568,180,3.94,3.5,2025-03-02 09:23:00,Facebook,21,Male,Kolkata,Dental,Evening,43,3,52,False,50.35,0,,9
LEAD_1118,2025-02-28,DentalCare_2025,Retarget_OldLeads,307.6,1384,119,8.6,2.58,2025-02-28 00:53:00,Facebook,64,Other,Bangalore,Wellness,Afternoon,230,1,65,True,33.5,0,,9
LEAD_1119,2025-08-03,DentalCare_2025,Retarget_OldLeads,934.98,3236,18,0.56,51.94,2025-08-03 01:01:00,Facebook,34,Female,Ranchi,Dental,Morning,126,1,98,True,62.3,0,,31
LEAD_1120,2025-08-04,SkinGlow_AdSet,GeneralAudience,517.04,502,169,33.67,3.06,2025-08-04 23:00:00,Facebook,51,Other,Bangalore,Dental,Evening,17,5,86,True,61.85,0,,32
LEAD_1121,2025-09-24,HairRevive_Offer,Men_30plus,339.04,2140,193,9.02,1.76,2025-09-24 02:49:00,Facebook,26,Other,Ranchi,Hair,Afternoon,224,5,48,True,15.6,0,,39
LEAD_1122,2025-02-09,SmileCare_Promo,Retarget_OldLeads,761.69,2060,14,0.68,54.41,2025-02-09 19:59:00,Facebook,43,Male,Kolkata,Dental,Evening,230,4,54,True,20.1,0,,6
LEAD_1123,2025-02-06,SkinGlow_AdSet,Retarget_OldLeads,714.93,3887,185,4.76,3.86,2025-02-06 05:17:00,Facebook,46,Other,Kolkata,Dental,Evening,201,5,56,True,22.25,0,,6
LEAD_1124,2025-04-25,DentalCare_2025,Target_Women_25_45,413.03,3245,76,2.34,5.43,2025-04-25 19:30:00,Facebook,33,Male,Kolkata,Hair,Morning,102,3,52,True,41.5,0,,17
LEAD_1125,2025-06-17,Wellness_Boost,Retarget_OldLeads,241.61,2639,106,4.02,2.28,2025-06-17 19:53:00,Facebook,53,Other,Bangalore,Dental,Morning,52,1,52,True,55.0,0,,25
